job_title,job_url,company_name,company_url,job_tags,job_snippet,job_post_date,new_job_post_flag
,,,,[],,,
,,,,[],,,
"Senior Data Scientist, Acoustic",https://sg.indeed.com/rc/clk?jk=479c4dcd6ae3c0c8&fccid=c0f0ee56088a411e&vjs=3,Carro,https://sg.indeed.com/cmp/Carro,['Full-time'],"Strong knowledge in big data ETL processes, data, and data exploration algorithms.
Strong data visualization and storytelling skills.",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
"Manager, Data & Analytics, Technology Consulting",https://sg.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AuWpd06JaTHFjvTB_5q6-0gBNCyrzTNez_CNw5GfFr-fdm3ewHMNJ35nohILle4HyXmGO4DpljuivJx8q6GvTL78R7uTWF-RARBvLesGtAYGHwgHOa_tPO9bxIK-15aMmgpCn6DtcyRQCiqbQuC7-qyKNAUmcXtu8lNcv7NkKGn9JwouWjx1Z-_eS--Qd9yUjI4-y76yREZ9VoVpVwT82O5lUOIk92DaxA-o-aEIpgXdVDjDzcoCrYPp3HSONaPIRPvtcSUYfHMoXiYyXnqo1H5PXHsWHE9xeea4iINWX22nAgdWP0RRHZ4LWlbWbp3r-AOD28WTtQUNfsEcIJoIvqdHSryOhoBYNpXNJQnj6ZYkVUFtU_fpGhm_vzUsGo3Gja8nzkwvHj_4DuUfb564L-thBiuCXLDU-4c9FOvhgcJ0VI_M0R2XTMdsfuHWCEKfBtT0vObHYQdTZXEBloSWYtoAmez_XtO6q2NG5CPJLIzDZvd-BRADdUApQYONEz0Ezv4neGCLYuWZq8uFQ-GT_hvbfpianBRgEl2NiLItnUF8rUVv-m1kLWLA10L3pqqh9VmUH83i5Sht3m-6itY7c-ehdQo1CWWq2saFI9MQX20Lt1iF1hIe9DG2R9y2wcbWhYIri5DGEm7w40E8b-wJNqE7ttIYsouTh86OjkfJ36Ej0CL0g6Xi1aEUXU_0kAcUJXrM_Ovfjj7svNyKDrD1-9RLjhuNC7ZKblJ2_9q8uzvE1drRFBy-C2z-qji4mx4C7TaOVt1yql9ddthqTSgD8eAxDE8ZHUxWPwkPLA64SLmZ6yWwQm4LFHRf1UtojdqxcrgyIp8aCLXhBM4zrbiKgR64uEtme-i9hSpSfxPT0Bl6eUXKS4nYymROBVHuuw2UuYW3TLWzxyeQ==&xkcb=SoDa-_M3Yyfvqa26Qx0JbzkdCdPP&p=9&fvj=0&vjs=3,ERNST & YOUNG ADVISORY PTE. LTD.,https://sg.indeed.com/cmp/Ey,"['$8,000 - $16,000 a month', 'Full-time +1']","Exposure to business intelligence, data warehousing/platform, and data strategy projects.
We implement information-driven strategies, data platforms and…",2 days ago,new
,,,,[],,,
,,,,[],,,
,,,,[],,,
Economist (Data Analytics),https://sg.indeed.com/rc/clk?jk=d7dd43342fbe74d4&fccid=4a2777751410aed7&vjs=3,Ministry of Trade and Industry,,['Full-time +2'],"Strong quantitative skills (e.g., econometrics and data science) for forecasting, policy modelling and simulations, as well as impact evaluation studies.",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
