apply_now,new_job_post_flag,job_post_days,company_name,company_url,job_title,job_tags,job_snippet,job_url
Apply Now,,30,The Talent Shark,,Data Scientist (Weather nowcast system ),['Full-time'],"Have passion about data and data science.
Provides data exploration with raw weather attributes, like wind speed, humidity, rainfall, and able to the find and…",https://sg.indeed.com/rc/clk?jk=207f5a8c4d70d60b&fccid=6e6bb78451dded9d&vjs=3
https://sg.indeed.com/applystart?jk=3a1e9f1eb6988bfc&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKl39PXFCdh1W8h68FqWYXQCkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=1e606fc1dbddb451&assa=9935,,30,Grab,https://sg.indeed.com/cmp/Grab,Senior / Lead Machine Learning Engineer,['Full-time'],"Design and implement robust data pipelines.
Analyze data and define metrics for feature evaluation and model performance.",https://sg.indeed.com/rc/clk?jk=3a1e9f1eb6988bfc&fccid=b79fa3ee18655a5a&vjs=3
https://sg.indeed.com/applystart?jk=d937642c287f0b07&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKkAins2Ts7l-YJgINX0ad5okN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=41731e9af9ff2f4b&assa=2616,,30,DBS Bank,https://sg.indeed.com/cmp/Dbs-Bank,"VP/AVP, Senior Data Scientist, Wealth Analytics - Consumer B...",['Full-time'],"Minimum 8 years of data scientist / data analytics experience.
Preferred knowledge in Business Intelligence tools and data science.",https://sg.indeed.com/rc/clk?jk=d937642c287f0b07&fccid=cc1f9ea511d140fe&vjs=3
https://sg.indeed.com/applystart?jk=0572970dd59bd68d&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKlOMyikqsfXqeEdVkmpYRlYkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=1d8c46500325a4b6&assa=9119,,30,Changi Airport Group,https://sg.indeed.com/cmp/Changi-Airport-Group,Enterprise Data Science Management Lead,['Permanent'],"Oversee data management, data quality control, data governance and data access as well as drive the growth of data science and new capabilities such as Machine…",https://sg.indeed.com/rc/clk?jk=0572970dd59bd68d&fccid=b98fdd885d550a69&vjs=3
https://sg.indeed.com/applystart?jk=dd68b001d1f9d751&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKkyhQkcRfQz4BBb11fxqDiFkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=ffb92319339669ec&assa=7698,,30,National University of Singapore,https://sg.indeed.com/cmp/National-University-of-Singapore,AI Engineer (Natural Language Processing)-AI Singapore,['Full-time'],"Develop NLP products for NLP Hub.
Perform literature review of academic machine learning papers.
Reproduce, test and enhance algorithms from research papers.",https://sg.indeed.com/rc/clk?jk=dd68b001d1f9d751&fccid=b4c06e8a712feddf&vjs=3
https://sg.indeed.com/applystart?jk=314a323d1ea1b527&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKkjC_4NlIt8_hDTrLi_ifvfkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=d0a534b0adaa728f&assa=7085,,30,IQVIA,https://sg.indeed.com/cmp/Iqvia,Engagement Manager – Database Analytics,['Full-time'],"Familiarity with real-world study methodologies including secondary data use (claims, EMRs, registries) or primary site-based data collection.",https://sg.indeed.com/rc/clk?jk=314a323d1ea1b527&fccid=6b7a1dfe07e7f037&vjs=3
https://sg.indeed.com/applystart?jk=09b059c9139448b3&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKlzxG3rY1wVeIkJ5OUaYGz_kN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=a2f96ac4030d28d2&assa=759,,30,Carro,https://sg.indeed.com/cmp/Carro,Senior Machine Learning Engineer,['Full-time'],"Build robust and highly scalable data platform components to support data collection, exploration, and integration from various sources - data API, RDBMS and…",https://sg.indeed.com/rc/clk?jk=09b059c9139448b3&fccid=c0f0ee56088a411e&vjs=3
https://sg.indeed.com/applystart?jk=8effc034110188bd&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKl4pxHmHNQbx0af49Ga5su6kN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=77ff035cd92e9933&assa=1318,,30,PSA International,https://sg.indeed.com/cmp/Psa-International,Manager / Senior Manager (Group Corporate Affairs),['Full-time'],At least 3 years of experience as a data scientist or data/BI analyst in developing dashboards and data analytics models/solutions.,https://sg.indeed.com/rc/clk?jk=8effc034110188bd&fccid=d9e60d33eab8cd05&vjs=3
https://sg.indeed.com/applystart?jk=ef8d15fc1f74bb0b&from=vj&pos=bottom&mvj=0&spon=0&sjdu=b7vh_jdkj9G0GZidtKO9loDDplm6SwWjHcxyoDIphKnvaBmjXOlcbi_JPZje3rpbkN0wkll9wDHc3mnStM4Hmg&vjfrom=serp&astse=d9f479290c895798&assa=9037,,30,SingHealth,https://sg.indeed.com/cmp/Singhealth,"Senior Analyst, Data Science, Office of Insights & Analytics",['Full-time'],"Experience in designing non-trivial data related technical solutions and deploying them in an actual user setting.
Doctorate Degree is an advantage.",https://sg.indeed.com/rc/clk?jk=ef8d15fc1f74bb0b&fccid=dcae8df142b2a793&vjs=3
Apply Now,,30,Inspectorio,,Lead Data Scientist,['Full-time'],"At least 3-5 years of experience on implementing data science projects.
Inspectorio is a cloud-based SaaS solution focused on creating a dynamic and risk…",https://sg.indeed.com/rc/clk?jk=dda2270473e30273&fccid=b36b290781136055&vjs=3
